Recursor: Std.PRange.UpwardEnumerable.Map.PreservesLT.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.Map.PreservesRxcSize.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.Map.PreservesRxoSize.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.Map.PreservesRxiSize.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.Map.PreservesLeast?.rec | is_sort_poly: true
Recursor: Nat.SOM.Expr.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.RepeatIterator.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.ULiftIterator.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Flatten.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Flatten.IsPlausibleStep.rec | is_sort_poly: false
Recursor: Std.Do.PostShape.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Zip.rec | is_sort_poly: true
Recursor: Std.Slice.SliceSize.rec | is_sort_poly: true
Recursor: Std.Slice.LawfulSliceSize.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Zip.PlausibleStep.rec | is_sort_poly: false
Recursor: Std.Iterators.Types.Drop.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Drop.PlausibleStep.rec | is_sort_poly: false
Recursor: Std.Iterators.Types.Empty.rec | is_sort_poly: true
Recursor: Lean.Omega.Constraint.rec | is_sort_poly: true
Recursor: Lean.Omega.LinearCombo.rec | is_sort_poly: true
Recursor: Std.Do.PredTrans.rec | is_sort_poly: true
Recursor: Std.Do.WP.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Take.rec | is_sort_poly: true
Recursor: SubarrayIterator.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.Take.PlausibleStep.rec | is_sort_poly: false
Recursor: Std.Legacy.Range.rec | is_sort_poly: true
Recursor: Std.Do.WPMonad.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.DropWhile.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.TakeWhile.rec | is_sort_poly: true
Recursor: Std.Iterators.Types.TakeWhile.PlausibleStep.rec | is_sort_poly: false
Recursor: Std.Iterators.Types.DropWhile.PlausibleStep.rec | is_sort_poly: false
